Fatura No;TARIH;STOK ADI;SATIS ADEDI;FIYAT;Kasiyer
F62201;03.06.2024;Sahlep;22;141.93;Zeynep
F36434;08.06.2024;Limonata 1L;23;132.05;Zeynep
F14471;19.06.2024;Limonata 1L;18;164.21;Zeynep
F24098;14.06.2024;Limonata 1L;11;97.42;Ayşe
F12389;02.06.2024;Limonata 1L;30;168.31;Mehmet
F34752;12.06.2024;Limonata 1L;20;47.75;Zeynep
F43128;27.06.2024;Limonata 1L;18;124.52;Mehmet
F34010;05.06.2024;Limonata 1L;32;159.91;Ayşe
F64327;21.06.2024;Limonata 1L;5;138.48;Zeynep
F84593;27.06.2024;Limonata 1L;26;130.35;Zeynep
F14361;10.06.2024;Limonata 1L;29;141.15;Mehmet
F78995;02.06.2024;Limonata 1L;20;136.12;Zeynep
F10710;01.06.2024;Limonata 1L;7;165.41;Ayşe
F82312;11.06.2024;Limonata 1L;25;58.87;Mehmet
F87372;19.06.2024;Limonata 1L;22;60.07;Zeynep
F67996;18.06.2024;Limonata 1L;24;126.08;Mehmet
F11007;12.06.2024;Limonata 1L;24;45.62;Ayşe
F97956;01.06.2024;Limonata 1L;24;64.33;Zeynep
F82149;15.06.2024;Limonata 1L;12;102.44;Mehmet
F97272;10.06.2024;Limonata 1L;29;133.51;Ayşe
F56922;12.06.2024;Limonata 1L;16;179.37;Ayşe
F98503;12.06.2024;Limonata 1L;14;71.49;Mehmet
F67474;27.06.2024;Limonata 1L;9;76.56;Zeynep
F76958;11.06.2024;Ihlamur;1;63.86;Ayşe
F43056;15.06.2024;Ihlamur;3;99.62;Ayşe
F60833;21.06.2024;Ihlamur;3;140.09;Mehmet
F96881;09.06.2024;Ihlamur;3;131.27;Zeynep
F89488;21.06.2024;Ihlamur;4;63.84;Zeynep
F61997;07.06.2024;Ihlamur;1;45.77;Ayşe
F35737;04.06.2024;Ihlamur;4;158.49;Ayşe
F40589;08.06.2024;Ihlamur;1;91.75;Zeynep
F74501;12.06.2024;Ihlamur;2;176.94;Zeynep
F38613;13.06.2024;Ihlamur;3;153.48;Mehmet
F15965;14.06.2024;Ihlamur;3;112.75;Mehmet
F63512;23.06.2024;Ihlamur;2;57.63;Mehmet
F74018;02.06.2024;Cheesecake Dilim;3;130.66;Ayşe
F98953;13.06.2024;Cheesecake Dilim;13;52.31;Zeynep
F12404;24.06.2024;Cheesecake Dilim;8;182.75;Ayşe
F87048;02.06.2024;Cheesecake Dilim;16;70.21;Mehmet
F36037;23.06.2024;Cheesecake Dilim;24;46.82;Zeynep
F55944;23.06.2024;Cheesecake Dilim;17;164.25;Zeynep
F65359;09.06.2024;Cheesecake Dilim;19;67.23;Zeynep
F94823;25.06.2024;Cheesecake Dilim;13;66.8;Zeynep
F78429;11.06.2024;Cheesecake Dilim;18;110.03;Ayşe
F54559;21.06.2024;Cheesecake Dilim;23;79.24;Zeynep
F85477;04.06.2024;Cheesecake Dilim;26;118.5;Mehmet
F74924;24.06.2024;Cheesecake Dilim;14;108.95;Ayşe
F37745;21.06.2024;Cheesecake Dilim;20;134.57;Zeynep
F94647;09.06.2024;Cheesecake Dilim;31;131.14;Zeynep
F57705;06.06.2024;Cheesecake Dilim;22;60.95;Mehmet
F81284;02.06.2024;Cheesecake Dilim;18;73.01;Ayşe
F95978;26.06.2024;Cheesecake Dilim;5;53.43;Zeynep
F30615;06.06.2024;Cheesecake Dilim;7;101.13;Ayşe
F18402;05.06.2024;Cheesecake Dilim;17;74.33;Mehmet
F58247;02.06.2024;Cheesecake Dilim;11;133.51;Ayşe
F37094;01.06.2024;Cheesecake Dilim;10;188.01;Mehmet
F30908;26.06.2024;San Sebastian;28;160.22;Zeynep
F15157;13.06.2024;San Sebastian;7;125.63;Mehmet
F36571;11.06.2024;San Sebastian;17;117.79;Mehmet
F95230;28.06.2024;San Sebastian;17;188.7;Zeynep
F35848;27.06.2024;San Sebastian;17;177.79;Ayşe
F31381;14.06.2024;San Sebastian;27;56.44;Zeynep
F72792;07.06.2024;San Sebastian;1;175.12;Zeynep
F88336;19.06.2024;San Sebastian;1;110.57;Zeynep
F82822;01.06.2024;San Sebastian;28;145.96;Zeynep
F47832;13.06.2024;San Sebastian;39;80.23;Ayşe
F32674;12.06.2024;San Sebastian;36;150.38;Ayşe
F24980;23.06.2024;San Sebastian;25;165.47;Mehmet
F34926;08.06.2024;San Sebastian;37;123.95;Ayşe
F96988;23.06.2024;San Sebastian;15;133.45;Ayşe
F51184;24.06.2024;San Sebastian;31;180.8;Mehmet
F66341;27.06.2024;San Sebastian;24;88.08;Ayşe
F62917;28.06.2024;San Sebastian;32;74.53;Mehmet
F59239;02.06.2024;San Sebastian;16;80.77;Ayşe
F32358;03.06.2024;San Sebastian;27;125.55;Ayşe
F80916;20.06.2024;San Sebastian;9;52.02;Zeynep
F19263;26.06.2024;San Sebastian;9;102.88;Zeynep
F83156;28.06.2024;San Sebastian;28;166.4;Zeynep
F70973;02.06.2024;Brownie;8;170.19;Zeynep
F80632;26.06.2024;Brownie;8;175.65;Zeynep
F81865;14.06.2024;Brownie;11;156.79;Mehmet
F93071;08.06.2024;Brownie;12;78.73;Ayşe
F38160;05.06.2024;Brownie;3;161.51;Mehmet
F62345;16.06.2024;Brownie;6;149.94;Zeynep
F55055;13.06.2024;Brownie;10;132.92;Zeynep
F67935;07.06.2024;Brownie;7;58.87;Zeynep
F44977;24.06.2024;Brownie;1;72.95;Mehmet
F96601;16.06.2024;Brownie;1;85.95;Zeynep
F42658;12.06.2024;Brownie;13;89.71;Zeynep
F76345;17.06.2024;Brownie;7;149.59;Mehmet
F26955;11.06.2024;Brownie;12;63.74;Zeynep
F73171;02.06.2024;Brownie;11;50.86;Zeynep
F26615;18.06.2024;Brownie;7;165.65;Ayşe
F69835;21.07.2024;Türk Kahvesi 100g;21;163.45;Ayşe
F69043;19.07.2024;Türk Kahvesi 100g;11;151.93;Zeynep
F79484;13.07.2024;Türk Kahvesi 100g;23;66.21;Ayşe
F34978;25.07.2024;Türk Kahvesi 100g;24;132.13;Mehmet
F85492;21.07.2024;Türk Kahvesi 100g;21;55.04;Zeynep
F83459;15.07.2024;Türk Kahvesi 100g;6;48.48;Mehmet
F95139;22.07.2024;Türk Kahvesi 100g;15;131.03;Mehmet
F81867;28.07.2024;Türk Kahvesi 100g;23;178.49;Ayşe
F79649;18.07.2024;Türk Kahvesi 100g;33;143.84;Ayşe
F97575;08.07.2024;Türk Kahvesi 100g;24;137.35;Zeynep
F38764;13.07.2024;Türk Kahvesi 100g;22;135.65;Zeynep
F75667;27.07.2024;Türk Kahvesi 100g;22;112.97;Mehmet
F29747;20.07.2024;Türk Kahvesi 100g;10;56.81;Ayşe
F63130;18.07.2024;Filtre Kahve 250g;6;78.94;Zeynep
F11957;23.07.2024;Filtre Kahve 250g;7;128.36;Mehmet
F35418;02.07.2024;Filtre Kahve 250g;12;118.59;Zeynep
F21782;27.07.2024;Filtre Kahve 250g;19;87.54;Mehmet
F90476;05.07.2024;Filtre Kahve 250g;4;122.81;Mehmet
F98642;22.07.2024;Filtre Kahve 250g;10;79.44;Mehmet
F14154;14.07.2024;Filtre Kahve 250g;13;102.7;Ayşe
F88283;18.07.2024;Filtre Kahve 250g;9;187.4;Ayşe
F51342;19.07.2024;Filtre Kahve 250g;8;139.86;Mehmet
F62746;03.07.2024;Filtre Kahve 250g;11;97.92;Mehmet
F89347;01.07.2024;Filtre Kahve 250g;12;84.22;Ayşe
F96811;03.07.2024;Filtre Kahve 250g;6;158.37;Zeynep
F49646;27.07.2024;Filtre Kahve 250g;11;45.43;Zeynep
F66971;20.07.2024;Filtre Kahve 250g;17;156.73;Ayşe
F56136;22.07.2024;Filtre Kahve 250g;4;140.37;Ayşe
F66184;25.07.2024;Filtre Kahve 250g;11;122.58;Mehmet
F40636;16.07.2024;Filtre Kahve 250g;13;89.67;Ayşe
F36024;11.07.2024;Filtre Kahve 250g;14;79.6;Mehmet
F41794;01.07.2024;Filtre Kahve 250g;13;164.5;Zeynep
F40773;15.07.2024;Filtre Kahve 250g;6;49.02;Ayşe
F44791;12.07.2024;Sıcak Çikolata;9;54.87;Ayşe
F99720;05.07.2024;Sıcak Çikolata;2;54.02;Zeynep
F97374;23.07.2024;Sıcak Çikolata;2;47.81;Zeynep
F55927;15.07.2024;Sıcak Çikolata;23;131.63;Ayşe
F22055;01.07.2024;Sıcak Çikolata;20;140.1;Ayşe
F72912;08.07.2024;Sıcak Çikolata;24;153.17;Mehmet
F10141;28.07.2024;Sıcak Çikolata;27;69.28;Ayşe
F84266;13.07.2024;Sıcak Çikolata;13;68.61;Mehmet
F78425;05.07.2024;Sıcak Çikolata;13;154.44;Zeynep
F89091;06.07.2024;Sıcak Çikolata;21;132.53;Ayşe
F93109;21.07.2024;Sıcak Çikolata;16;94.89;Mehmet
F12386;24.07.2024;Sıcak Çikolata;18;63.53;Mehmet
F10240;16.07.2024;Sıcak Çikolata;13;160.19;Mehmet
F64273;03.07.2024;Sıcak Çikolata;17;56.21;Mehmet
F83822;14.07.2024;Sıcak Çikolata;11;99.0;Zeynep
F28417;05.07.2024;Sıcak Çikolata;16;127.98;Ayşe
F13893;16.07.2024;Sıcak Çikolata;15;144.41;Ayşe
F79428;15.07.2024;Sıcak Çikolata;12;151.26;Zeynep
F33612;25.07.2024;Sıcak Çikolata;25;156.71;Mehmet
F90673;06.07.2024;Yeşil Çay;7;155.28;Ayşe
F53651;20.07.2024;Yeşil Çay;12;126.73;Zeynep
F72436;22.07.2024;Yeşil Çay;5;180.96;Zeynep
F88647;10.07.2024;Yeşil Çay;7;114.51;Zeynep
F47360;15.07.2024;Yeşil Çay;7;46.53;Zeynep
F44941;10.07.2024;Yeşil Çay;11;173.93;Mehmet
F63383;08.07.2024;Yeşil Çay;11;90.06;Zeynep
F65738;12.07.2024;Yeşil Çay;11;81.98;Zeynep
F92722;06.07.2024;Yeşil Çay;7;97.28;Mehmet
F51251;06.07.2024;Yeşil Çay;10;91.41;Ayşe
F13281;02.07.2024;Yeşil Çay;7;75.92;Zeynep
F67421;07.07.2024;Yeşil Çay;12;93.34;Zeynep
F71578;20.07.2024;Yeşil Çay;3;178.92;Ayşe
F34499;16.07.2024;Yeşil Çay;9;177.82;Mehmet
F32236;23.07.2024;Yeşil Çay;7;51.24;Zeynep
F29385;01.07.2024;Yeşil Çay;7;158.29;Zeynep
F99461;16.07.2024;Sahlep;1;163.95;Ayşe
F14099;01.07.2024;Sahlep;6;55.47;Mehmet
F29214;06.07.2024;Sahlep;9;166.52;Ayşe
F38015;25.07.2024;Sahlep;16;109.75;Mehmet
F70897;25.07.2024;Sahlep;10;54.2;Zeynep
F25202;01.07.2024;Sahlep;7;81.25;Mehmet
F94192;07.07.2024;Sahlep;12;158.8;Zeynep
F76684;16.07.2024;Sahlep;1;176.96;Mehmet
F31556;27.07.2024;Sahlep;3;186.67;Mehmet
F27083;21.07.2024;Sahlep;15;111.13;Mehmet
F73496;04.07.2024;Sahlep;13;96.57;Ayşe
F92724;26.07.2024;Sahlep;1;157.5;Mehmet
F22683;16.07.2024;Sahlep;9;79.32;Mehmet
F17830;09.07.2024;Sahlep;14;135.19;Zeynep
F97482;01.07.2024;Sahlep;17;70.17;Ayşe
F38756;26.07.2024;Sahlep;19;75.14;Zeynep
F91003;27.07.2024;Sahlep;18;159.68;Mehmet
F30867;20.07.2024;Sahlep;13;78.48;Ayşe
F24819;07.07.2024;Sahlep;13;151.53;Zeynep
F20579;13.07.2024;Sahlep;16;119.26;Ayşe
F49972;23.07.2024;Limonata 1L;13;46.75;Ayşe
F67613;12.07.2024;Limonata 1L;14;180.28;Ayşe
F26706;21.07.2024;Limonata 1L;14;105.56;Zeynep
F90576;19.07.2024;Limonata 1L;20;62.62;Mehmet
F77393;01.07.2024;Limonata 1L;7;114.31;Zeynep
F75614;01.07.2024;Limonata 1L;10;68.15;Mehmet
F96304;25.07.2024;Limonata 1L;9;45.26;Ayşe
F44972;22.07.2024;Limonata 1L;14;67.5;Mehmet
F67382;15.07.2024;Limonata 1L;9;57.01;Zeynep
F79961;05.07.2024;Limonata 1L;13;98.6;Mehmet
F83196;28.07.2024;Limonata 1L;13;75.77;Zeynep
F80752;10.07.2024;Limonata 1L;21;110.37;Mehmet
F71296;17.07.2024;Limonata 1L;9;46.35;Ayşe
F95206;14.07.2024;Limonata 1L;4;134.56;Zeynep
F98329;07.07.2024;Limonata 1L;8;170.15;Mehmet
F73594;03.07.2024;Limonata 1L;16;135.18;Mehmet
F30952;13.07.2024;Limonata 1L;21;84.6;Mehmet
F50913;08.07.2024;Limonata 1L;4;84.63;Zeynep
F97217;28.07.2024;Limonata 1L;14;103.65;Ayşe
F16882;27.07.2024;Limonata 1L;11;126.4;Mehmet
F68686;17.07.2024;Limonata 1L;13;152.46;Ayşe
F51295;03.07.2024;Limonata 1L;14;177.84;Zeynep
F22902;25.07.2024;Limonata 1L;9;122.62;Zeynep
F35267;13.07.2024;Limonata 1L;18;122.92;Mehmet
F17786;27.07.2024;Limonata 1L;20;104.75;Zeynep
F19670;08.07.2024;Ihlamur;1;63.67;Mehmet
F19674;08.07.2024;Ihlamur;2;160.41;Ayşe
F86519;04.07.2024;Ihlamur;1;142.17;Mehmet
F13516;18.07.2024;Ihlamur;1;72.59;Ayşe
F16569;14.07.2024;Ihlamur;2;143.21;Zeynep
F44268;07.07.2024;Ihlamur;1;78.38;Zeynep
F28704;10.07.2024;Ihlamur;1;172.8;Ayşe
F22583;27.07.2024;Ihlamur;1;111.62;Mehmet
F64526;01.07.2024;Ihlamur;2;109.86;Zeynep
F44781;08.07.2024;Ihlamur;1;61.19;Ayşe
F16425;19.07.2024;Ihlamur;1;101.21;Mehmet
F26441;01.07.2024;Ihlamur;2;50.35;Mehmet
F72102;21.07.2024;Ihlamur;1;185.81;Zeynep
F77654;16.07.2024;Ihlamur;1;75.91;Zeynep
F57713;11.07.2024;Ihlamur;1;118.98;Ayşe
F84966;15.07.2024;Ihlamur;1;99.76;Zeynep
F72768;11.07.2024;Ihlamur;1;119.47;Mehmet
F35977;23.07.2024;Ihlamur;1;116.57;Ayşe
F33103;11.07.2024;Ihlamur;1;175.7;Mehmet
F70178;06.07.2024;Ihlamur;1;134.32;Mehmet
F13963;13.07.2024;Ihlamur;1;184.45;Zeynep
F47372;20.07.2024;Ihlamur;1;80.53;Zeynep
F91298;08.07.2024;Ihlamur;1;144.05;Ayşe
F41780;07.07.2024;Cheesecake Dilim;13;131.93;Zeynep
F25459;02.07.2024;Cheesecake Dilim;12;184.67;Ayşe
F52766;13.07.2024;Cheesecake Dilim;14;126.15;Mehmet
F11649;19.07.2024;Cheesecake Dilim;9;71.82;Mehmet
F52480;01.07.2024;Cheesecake Dilim;14;126.41;Zeynep
F79608;05.07.2024;Cheesecake Dilim;17;63.59;Zeynep
F90405;27.07.2024;Cheesecake Dilim;17;95.21;Mehmet
F64667;21.07.2024;Cheesecake Dilim;13;148.13;Zeynep
F39260;24.07.2024;Cheesecake Dilim;7;72.46;Zeynep
F25418;27.07.2024;Cheesecake Dilim;11;94.02;Ayşe
F69829;06.07.2024;Cheesecake Dilim;12;130.14;Ayşe
F83824;28.07.2024;Cheesecake Dilim;12;111.8;Mehmet
F26285;27.07.2024;Cheesecake Dilim;19;172.39;Zeynep
F85712;23.07.2024;Cheesecake Dilim;15;133.08;Ayşe
F54782;15.07.2024;Cheesecake Dilim;12;168.3;Zeynep
F55641;26.07.2024;San Sebastian;4;66.73;Zeynep
F69540;10.07.2024;San Sebastian;19;141.51;Zeynep
F88891;20.07.2024;San Sebastian;13;58.58;Ayşe
F17801;26.07.2024;San Sebastian;19;95.7;Zeynep
F55692;12.07.2024;San Sebastian;4;121.92;Ayşe
F96580;07.07.2024;San Sebastian;14;50.86;Mehmet
F99079;25.07.2024;San Sebastian;4;102.94;Mehmet
F94110;27.07.2024;San Sebastian;16;150.65;Ayşe
F18562;02.07.2024;San Sebastian;13;189.09;Ayşe
F70585;20.07.2024;San Sebastian;15;104.58;Zeynep
F66954;26.07.2024;San Sebastian;6;85.41;Zeynep
F48380;21.07.2024;San Sebastian;23;135.33;Mehmet
F23757;17.07.2024;San Sebastian;17;77.44;Zeynep
F55192;25.07.2024;San Sebastian;20;106.93;Ayşe
F63287;14.07.2024;San Sebastian;15;170.82;Ayşe
F64100;22.07.2024;San Sebastian;9;62.46;Zeynep
F86124;05.07.2024;Brownie;7;109.18;Mehmet
F34216;28.07.2024;Brownie;5;127.51;Ayşe
F42850;16.07.2024;Brownie;5;165.67;Ayşe
F25018;26.07.2024;Brownie;11;133.76;Zeynep
F36261;26.07.2024;Brownie;4;70.13;Mehmet
F99871;27.07.2024;Brownie;8;51.14;Ayşe
F42122;16.07.2024;Brownie;6;168.01;Zeynep
F47540;23.07.2024;Brownie;8;109.8;Zeynep
F52576;21.07.2024;Brownie;3;78.21;Mehmet
F16940;05.07.2024;Brownie;4;78.89;Mehmet
F76003;04.07.2024;Brownie;9;173.11;Ayşe
F51901;20.07.2024;Brownie;7;136.76;Mehmet
F98400;05.07.2024;Brownie;8;151.63;Zeynep
F65405;07.07.2024;Brownie;6;117.46;Ayşe
F77484;07.07.2024;Brownie;1;102.13;Mehmet
F79897;14.07.2024;Brownie;7;167.73;Zeynep
F96995;11.07.2024;Brownie;5;129.72;Ayşe
F17964;08.07.2024;Brownie;8;171.1;Zeynep
F88036;24.08.2024;Türk Kahvesi 100g;23;166.5;Ayşe
F24636;25.08.2024;Türk Kahvesi 100g;25;49.06;Zeynep
F38317;12.08.2024;Türk Kahvesi 100g;20;56.28;Zeynep
F40056;03.08.2024;Türk Kahvesi 100g;19;120.95;Zeynep
F53524;07.08.2024;Türk Kahvesi 100g;23;170.64;Ayşe
F10818;21.08.2024;Türk Kahvesi 100g;18;189.22;Ayşe
F60280;01.08.2024;Türk Kahvesi 100g;29;164.58;Ayşe
F51010;26.08.2024;Türk Kahvesi 100g;15;113.3;Zeynep
F84831;27.08.2024;Türk Kahvesi 100g;16;127.45;Zeynep
F49323;19.08.2024;Türk Kahvesi 100g;22;96.3;Ayşe
F27597;01.08.2024;Türk Kahvesi 100g;11;104.88;Ayşe
F21071;10.08.2024;Türk Kahvesi 100g;14;103.25;Mehmet
F82405;07.08.2024;Türk Kahvesi 100g;20;62.71;Ayşe
F50108;03.08.2024;Türk Kahvesi 100g;12;51.07;Zeynep
F26418;16.08.2024;Türk Kahvesi 100g;13;66.81;Zeynep
F86049;19.08.2024;Türk Kahvesi 100g;23;171.39;Ayşe
F12645;02.08.2024;Filtre Kahve 250g;8;111.64;Mehmet
F21526;06.08.2024;Filtre Kahve 250g;3;137.05;Mehmet
F43134;13.08.2024;Filtre Kahve 250g;4;155.56;Mehmet
F84343;27.08.2024;Filtre Kahve 250g;13;56.37;Ayşe
F45019;05.08.2024;Filtre Kahve 250g;6;173.42;Ayşe
F28005;12.08.2024;Filtre Kahve 250g;8;99.41;Mehmet
F19116;09.08.2024;Filtre Kahve 250g;9;133.88;Ayşe
F71917;02.08.2024;Filtre Kahve 250g;6;155.92;Mehmet
F50187;08.08.2024;Filtre Kahve 250g;5;164.25;Mehmet
F37743;13.08.2024;Filtre Kahve 250g;7;45.24;Mehmet
F48258;21.08.2024;Filtre Kahve 250g;14;87.5;Zeynep
F23407;11.08.2024;Filtre Kahve 250g;11;107.54;Ayşe
F19898;03.08.2024;Filtre Kahve 250g;5;71.51;Mehmet
F95420;09.08.2024;Filtre Kahve 250g;10;125.06;Zeynep
F10879;20.08.2024;Filtre Kahve 250g;6;178.37;Ayşe
F47330;26.08.2024;Filtre Kahve 250g;6;77.94;Zeynep
F59520;13.08.2024;Filtre Kahve 250g;9;111.54;Ayşe
F98528;25.08.2024;Filtre Kahve 250g;9;181.57;Zeynep
F60022;24.08.2024;Filtre Kahve 250g;10;120.66;Ayşe
F52505;24.08.2024;Filtre Kahve 250g;4;68.21;Zeynep
F69109;25.08.2024;Filtre Kahve 250g;9;140.54;Mehmet
F32654;21.08.2024;Filtre Kahve 250g;7;101.44;Zeynep
F76467;02.08.2024;Sıcak Çikolata;14;55.96;Mehmet
F39848;17.08.2024;Sıcak Çikolata;27;170.51;Mehmet
F40891;06.08.2024;Sıcak Çikolata;10;63.69;Mehmet
F73181;25.08.2024;Sıcak Çikolata;15;80.12;Mehmet
F22898;18.08.2024;Sıcak Çikolata;24;48.49;Zeynep
F85841;08.08.2024;Sıcak Çikolata;11;73.92;Zeynep
F29921;21.08.2024;Sıcak Çikolata;21;185.67;Ayşe
F42585;20.08.2024;Sıcak Çikolata;22;174.92;Mehmet
F30056;11.08.2024;Sıcak Çikolata;10;177.31;Mehmet
F38416;03.08.2024;Sıcak Çikolata;19;49.69;Zeynep
F93191;27.08.2024;Sıcak Çikolata;14;50.01;Ayşe
F74262;23.08.2024;Sıcak Çikolata;1;140.93;Mehmet
F13739;12.08.2024;Sıcak Çikolata;21;131.01;Mehmet
F52883;05.08.2024;Sıcak Çikolata;22;135.05;Mehmet
F84301;15.08.2024;Sıcak Çikolata;4;121.49;Mehmet
F53139;11.08.2024;Sıcak Çikolata;9;64.64;Ayşe
F89489;12.08.2024;Sıcak Çikolata;17;122.3;Zeynep
F25561;07.08.2024;Sıcak Çikolata;17;59.68;Mehmet
F16081;12.08.2024;Sıcak Çikolata;21;52.09;Zeynep
F63132;08.08.2024;Yeşil Çay;11;119.79;Mehmet
F91129;24.08.2024;Yeşil Çay;3;85.23;Zeynep
F25741;23.08.2024;Yeşil Çay;6;123.79;Ayşe
F93326;01.08.2024;Yeşil Çay;8;45.13;Zeynep
F44071;16.08.2024;Yeşil Çay;5;170.3;Ayşe
F12839;17.08.2024;Yeşil Çay;8;116.34;Ayşe
F39232;24.08.2024;Yeşil Çay;7;146.94;Ayşe
F61347;11.08.2024;Yeşil Çay;8;92.08;Zeynep
F54912;16.08.2024;Yeşil Çay;9;123.09;Zeynep
F95407;01.08.2024;Yeşil Çay;9;80.57;Ayşe
F34309;14.08.2024;Yeşil Çay;9;46.0;Mehmet
F21790;19.08.2024;Yeşil Çay;8;177.88;Mehmet
F80427;17.08.2024;Yeşil Çay;2;104.63;Mehmet
F29171;02.08.2024;Yeşil Çay;5;145.78;Zeynep
F85720;15.08.2024;Yeşil Çay;5;72.99;Ayşe
F18760;14.08.2024;Sahlep;16;157.26;Zeynep
F76510;14.08.2024;Sahlep;13;140.07;Zeynep
F59301;17.08.2024;Sahlep;19;148.05;Ayşe
F91840;01.08.2024;Sahlep;8;112.37;Ayşe
F99754;22.08.2024;Sahlep;16;79.34;Mehmet
F86733;06.08.2024;Sahlep;1;186.3;Zeynep
F31132;05.08.2024;Sahlep;21;62.6;Ayşe
F16108;02.08.2024;Sahlep;5;86.74;Ayşe
F67808;09.08.2024;Sahlep;13;93.19;Zeynep
F91940;09.08.2024;Sahlep;13;48.76;Zeynep
F80832;24.08.2024;Sahlep;14;186.42;Mehmet
F88144;21.08.2024;Sahlep;17;118.13;Ayşe
F74507;25.08.2024;Sahlep;14;105.55;Ayşe
F19939;22.08.2024;Sahlep;16;149.72;Zeynep
F84495;23.08.2024;Sahlep;1;163.43;Zeynep
F37332;14.08.2024;Sahlep;18;153.9;Mehmet
F35477;24.08.2024;Sahlep;5;122.44;Ayşe
F98368;06.08.2024;Sahlep;17;78.77;Ayşe
F81897;14.08.2024;Sahlep;13;70.56;Zeynep
F22530;02.08.2024;Sahlep;10;47.14;Mehmet
F40669;14.08.2024;Sahlep;24;117.45;Zeynep
F43724;28.08.2024;Sahlep;7;52.56;Ayşe
F30279;04.08.2024;Sahlep;8;62.33;Mehmet
F31663;17.08.2024;Sahlep;16;72.32;Mehmet
F13363;16.08.2024;Limonata 1L;14;47.63;Ayşe
F82918;09.08.2024;Limonata 1L;16;125.31;Mehmet
F30396;11.08.2024;Limonata 1L;21;120.47;Ayşe
F73653;14.08.2024;Limonata 1L;14;148.07;Mehmet
F86010;13.08.2024;Limonata 1L;2;70.99;Ayşe
F42484;13.08.2024;Limonata 1L;14;142.27;Zeynep
F98256;13.08.2024;Limonata 1L;10;135.61;Ayşe
F18042;03.08.2024;Limonata 1L;15;143.82;Zeynep
F14833;16.08.2024;Limonata 1L;5;180.28;Ayşe
F30610;16.08.2024;Limonata 1L;11;176.37;Ayşe
F68922;14.08.2024;Limonata 1L;20;71.77;Zeynep
F26340;12.08.2024;Limonata 1L;7;172.6;Zeynep
F13570;25.08.2024;Limonata 1L;17;66.47;Mehmet
F76051;08.08.2024;Limonata 1L;10;122.75;Ayşe
F15699;16.08.2024;Limonata 1L;9;46.82;Mehmet
F72416;22.08.2024;Limonata 1L;15;49.01;Ayşe
F63282;16.08.2024;Limonata 1L;7;145.29;Zeynep
F86798;03.08.2024;Limonata 1L;16;170.18;Mehmet
F75381;21.08.2024;Limonata 1L;4;185.94;Zeynep
F11126;24.08.2024;Limonata 1L;11;164.88;Ayşe
F68244;02.08.2024;Limonata 1L;13;90.55;Zeynep
F37963;17.08.2024;Limonata 1L;13;159.53;Zeynep
F54792;12.08.2024;Ihlamur;1;74.44;Ayşe
F97525;16.08.2024;Ihlamur;1;177.23;Mehmet
F24177;23.08.2024;Ihlamur;1;141.76;Mehmet
F61607;06.08.2024;Ihlamur;1;136.53;Mehmet
F59850;18.08.2024;Ihlamur;1;182.63;Zeynep
F96755;24.08.2024;Ihlamur;1;142.94;Zeynep
F33351;25.08.2024;Ihlamur;1;106.7;Zeynep
F81834;16.08.2024;Ihlamur;1;50.33;Zeynep
F71315;14.08.2024;Ihlamur;1;148.8;Mehmet
F74548;14.08.2024;Ihlamur;1;132.07;Mehmet
F37366;13.08.2024;Ihlamur;1;69.34;Ayşe
F21385;06.08.2024;Ihlamur;1;98.51;Mehmet
F83666;24.08.2024;Ihlamur;1;167.97;Ayşe
F87737;02.08.2024;Ihlamur;1;188.62;Ayşe
F21599;19.08.2024;Ihlamur;1;173.57;Zeynep
F57305;17.08.2024;Ihlamur;1;84.57;Mehmet
F51606;14.08.2024;Ihlamur;1;118.8;Ayşe
F89196;22.08.2024;Ihlamur;1;183.06;Mehmet
F39307;11.08.2024;Ihlamur;1;187.75;Zeynep
F58021;16.08.2024;Ihlamur;1;181.61;Ayşe
F70196;16.08.2024;Cheesecake Dilim;10;51.93;Zeynep
F76514;01.08.2024;Cheesecake Dilim;10;148.7;Ayşe
F10304;25.08.2024;Cheesecake Dilim;9;94.52;Ayşe
F67919;22.08.2024;Cheesecake Dilim;11;69.51;Mehmet
F98188;17.08.2024;Cheesecake Dilim;14;149.05;Ayşe
F74758;26.08.2024;Cheesecake Dilim;18;167.42;Zeynep
F72937;11.08.2024;Cheesecake Dilim;14;127.56;Ayşe
F38163;27.08.2024;Cheesecake Dilim;19;128.75;Mehmet
F31088;23.08.2024;Cheesecake Dilim;16;185.12;Zeynep
F45461;01.08.2024;Cheesecake Dilim;23;98.81;Mehmet
F41450;27.08.2024;Cheesecake Dilim;9;126.68;Ayşe
F10623;20.08.2024;Cheesecake Dilim;14;74.17;Ayşe
F82843;01.08.2024;Cheesecake Dilim;19;148.8;Ayşe
F28284;05.08.2024;San Sebastian;11;61.61;Ayşe
F28833;09.08.2024;San Sebastian;22;96.5;Ayşe
F15622;27.08.2024;San Sebastian;17;186.63;Zeynep
F66402;20.08.2024;San Sebastian;10;169.45;Mehmet
F51127;17.08.2024;San Sebastian;22;179.36;Mehmet
F87396;01.08.2024;San Sebastian;12;178.89;Mehmet
F48207;18.08.2024;San Sebastian;12;82.64;Ayşe
F36694;20.08.2024;San Sebastian;12;135.22;Ayşe
F98047;17.08.2024;San Sebastian;14;49.67;Mehmet
F96214;11.08.2024;San Sebastian;10;144.51;Ayşe
F50532;16.08.2024;San Sebastian;12;55.28;Ayşe
